iter	Passed	Remaining
0	9	9020
1	10	5204
2	10	3653
3	11	2871
4	12	2426
5	12	2128
6	13	1897
7	13	1727
8	17	1892
9	18	1791
10	18	1692
11	19	1617
12	20	1558
13	21	1494
14	21	1439
15	22	1386
16	23	1345
17	23	1309
18	25	1291
19	26	1274
20	26	1251
21	27	1222
22	28	1191
23	28	1164
24	29	1136
25	30	1131
26	31	1139
27	32	1132
28	33	1121
29	34	1107
30	35	1102
31	35	1088
32	36	1076
33	37	1074
34	38	1066
35	39	1056
36	40	1044
37	40	1032
38	41	1020
39	41	1007
40	42	994
41	43	983
42	43	974
43	44	966
44	48	1022
45	49	1016
46	49	1011
47	50	1010
48	51	1004
49	52	998
50	53	989
51	53	980
52	54	969
53	54	960
54	55	950
55	56	944
56	57	945
57	57	939
58	58	934
59	59	932
60	60	926
61	63	966
62	64	962
63	65	960
64	67	968
65	69	984
66	70	982
67	71	978
68	72	972
69	72	967
70	73	960
71	73	952
72	74	946
73	75	940
74	76	944
75	77	947
76	78	945
77	79	941
78	80	937
79	81	933
80	81	929
81	82	922
82	82	916
83	83	910
84	84	904
85	84	898
86	85	893
87	85	888
88	86	884
89	88	890
90	88	886
91	89	882
92	90	878
93	93	897
94	93	891
95	94	888
96	94	882
97	95	878
98	96	874
99	96	872
100	97	869
101	98	863
102	98	860
103	99	860
104	100	859
105	101	857
106	102	853
107	102	849
108	103	846
109	104	842
110	104	837
111	105	833
112	105	828
113	107	833
114	109	844
115	110	842
116	111	839
117	112	839
118	113	836
119	113	835
120	114	832
121	115	828
122	115	825
123	116	822
124	117	819
125	118	819
126	118	817
127	119	817
128	120	816
129	122	817
130	123	817
131	124	816
132	125	815
133	126	815
134	126	813
135	127	810
136	128	809
137	129	807
138	130	805
139	130	803
140	131	800
141	132	797
142	132	794
143	132	790
144	133	787
145	133	783
146	134	780
147	134	776
148	135	773
149	136	773
150	137	775
151	139	777
152	140	776
153	140	774
154	141	772
155	142	769
156	142	767
157	143	765
158	144	763
159	145	761
160	146	761
161	147	760
162	147	758
163	148	756
164	148	753
165	149	750
166	150	748
167	150	746
168	151	745
169	154	754
170	155	753
171	156	751
172	156	749
173	162	773
174	163	771
175	164	771
176	165	769
177	166	766
178	166	764
179	171	779
180	172	779
181	172	777
182	173	774
183	174	771
184	174	769
185	175	766
186	175	764
187	176	761
188	176	759
189	177	756
190	178	754
191	178	751
192	179	750
193	180	747
194	180	745
195	181	743
196	182	742
197	186	756
198	187	755
199	188	753
200	189	753
201	190	753
202	191	752
203	192	750
204	192	748
205	193	746
206	194	744
207	194	742
208	195	740
209	196	738
210	197	737
211	197	734
212	198	734
213	199	734
214	201	735
215	202	734
216	203	733
217	203	731
218	204	728
219	204	726
220	205	724
221	205	721
222	206	719
223	207	718
224	207	715
225	208	713
226	209	712
227	209	710
228	210	708
229	210	706
230	211	703
231	211	701
232	212	699
233	213	697
234	216	704
235	217	703
236	218	703
237	219	701
238	219	699
239	220	697
240	221	696
